WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.4624486321305 34.027699677478573)"	1306		0	45347	29168	329.71292114	3844	1000	23-80			12
"POINT (-118.47720673981937 34.038835651623771)"	1307		0	45282	29188	269.99743652	3645	907	19-162			12
"POINT (-118.49862115928212 34.032727592908728)"	1308		0	44933	29222	270.57617187	2190	390	10-105			12
"POINT (-118.48927412719951 34.014061391074364)"	1309		0	91987	29242	222.6572113	91986	880	4-1A			12
"POINT (-118.4824040489742 34.003485623325915)"	1310		0	45905	29246	173.37399292	5130	1704	5-100			12
"POINT (-118.47318139236418 34.033707502217602)"	1311		0	45333	29252	181.99606323	3773	980	18-112			12
"POINT (-118.46780139806867 34.008215755867283)"	1312		0	83563	29273	351.59552002	101465	1175	6-217A			12
"POINT (-118.49620207816618 34.009265546871376)"	1313		0	45587	29292	359.00082397	4656	1365	3-24			12
"POINT (-118.47518248126784 34.027509609238685)"	1314		0	45237	29316	179.99998474	3451	841	18-167			12
"POINT (-118.45801678114688 34.028751376220939)"	1315		0	45398	29330	269.87185668	4091	1096	23-94			12
"POINT (-118.48864671783743 34.032185326280782)"	1316		0	45080	29346	359.31567382	2774	609	12-50			12
"POINT (-118.46924921188743 34.017913025421713)"	1317		1	101783	29378	90	1	SMC7	 			12
"POINT (-118.47002392485467 34.017453690124292)"	1318		1	101784	29379	90	1	SMC8	 			12
"POINT (-118.46831995983894 34.016910393124078)"	1319		1	101785	29380	90	1	SMC9	 			12
"POINT (-118.46979451626838 34.016532137845111)"	1320		1	101786	29381	90	1	SMC10	 			12
"POINT (-118.46945273846816 34.016258060193856)"	1321		1	101787	29382	90	1	SMC11	 			12
"POINT (-118.47062724605699 34.016412068508167)"	1322		1	101789	29383	90	1	SMC13	 			12
"POINT (-118.47041663759703 34.015891065029173)"	1323		1	101791	29384	90	1	SMC15	 			12
"POINT (-118.47018699500987 34.016661470543738)"	1324		1	101788	29385	90	1	SMC12	 			12
